clean_tweet,class
know know know street fuck strong bitch gon fuck money,1
rather jack fuck hoe tbh shit boring give wife,1
really dont give fuck start got hoe fuck bitch shit im deleting yo,1
still dont got time bitch actin iffy,1
thinkkk shee know maaaa otheeeeeeeer bitch,1
told niggah maya angelo died niggah gon ask red ninja turtle wtf,1
took bitch set yo bitch get around set dicked bitch set yo,1
never date female another niggah name lol wtf,1
wonder female ever sit around think bout yall hoe unfaithful yall really,1
wouldnt bring girl around nobody leo niggah know wouldnt mess,1
im hard kill im countin cake finest bitch take makeup still look like finalist,1
im gon ever niggah hit like every picture get whoever want period,1
im niggah show public babbbbbbyyyy lol,1
id rather sit house day jack bust mission literally chill bitch,1
idk niggah give female head throw condom lmaooo niggah already ate whole std,1
ever put trust ina bitch ill always hurt,1
ever put trust ina bitch ill always hurt,1
ugly as niggah tf chuu baka anyways niggah look like,0
yo new niggah cant dress better even close looking better dnt try make,1
get yo girl took dont mad niggah mad cause dont owe loyalty,1
ima kill pussy straight murder shit ima eat eat eat lick till slap aye,1
ima pull eat pussy dip,1
ima real young niggah witha muhhfuckin attitude walk im yo spot would think niggah mad,1
ima young rich niggah tryna fuck niggah bitch ex rat naybahoods fuckin bitch,1
indiana niggah tell muhhfuckin grammar swear got hoe like im santa,1
jody niggah got boo pregnant niggah cant take responsibility,1
want nobody else textinginboxingkikingdmingsnapchattingemailing yo girl niggah,1
old lil proton feel bitch thats gon feel niggahs wont kill,1
lemme find didnt answer call cause otp niggah,1
leo apolonio look niggah drive bike,1
looked ex profile struggling weak as niggah god good,1
niggah alsina doin thang,1
make niggah buy ring ya finger jimmy ya foot jean back lingerie,1
mann hoe get nothin dick instruction mee fucccccckn said,1
mannnnn wake yall bitch ass blood,1
charger got fucked finna wrap cord tf around phone bitch finna charge today cuhz,1
baby mama trippen bitch shoot,1
nah aint hoe niggah bitch niggah rich niggah shit niggah getchu chipped niggah,1
niggah said girl limit thirsty niggahs stay inbox bitch look like kunta kintes,1
niggahs stay thinkin want girl nevvvvva niggah,1
feelins hoe aint main thang niggahs thang niggahs gangbang,1
g like stop controllin im like bitch fuck thought like niggah fuck mean,1
ok texas bitch keep textin callin cryin stressin bout another bitch allegedly,1
ok texas bitch keep textin callin cryin stressin askin another bitch allegedly,1
twitter say ridin niggah thats really fuck pull trigger,1
rip deshawn dont know know darkskin niggah hood named deshawn getting shot tonight,1
ran good game royal niggah,1
said aint neva love bitcccccch bitch steady lovin ayeeee,1
see gotta get money palm itchin niggahs gossip like hoe bitch,1
shawty wanna tell secret rap niggah tell bitch attractive hold,1
drippen vanillaaaaa know im pussy killaaaa,1
herd dope boy herd gold digger know real bitch fuck like real niggah,1
love talk crazy suck niggah dick whole lotta spit let drip yea catch,1
mad like min got hit right back lol care niggah,1
somebody come look niggah right kevin hart voice lol,1
someone let know drake cold favorite rapper niggah hard,1
south central niggahs really dont lovin hoe hoe dont lovin niggahs,1
fb profile checker thing fake mf added bitch yesterday top fuck fr,1
one niggah grab aux cord start playen weak as music,1
hoe finna like owieee trey august chris brown baby time lmfaooooooo hoe aint loyal,1
niggahs bitch call momma tell come getemm either shoot shoot whoever,1
niggah kevin hart couldnt sit lmaoooooooooooo niggah niggah,1
cuh went time settle hoe,1
niggah yanni like hangin niggahs mid sentence,1
niggah pharrell whatever niggah name dont deserve shit white as gay song,0
runnin k fade niggah tyreon leo kod lmfaoo,1
waaaaittt niggah holllllup niggahs come town start wifen old slut,1
wake im blessed steaight kush stress thankin god success bitch say im best,1
bestf shyanna pen main niggah ronnie jackson iii movie bound pick homies,1
yall complaining thirst trap fr model dress like as stfu dont make hoe wtf,1
yall hoe get turned reason like owieee got tat bang wifi password,1
yall like sayin money dont buy happiness name niggah sitting lambo cry,1
deserve x august alsina im dedicating old side hoe,1
gottttta mad madddd niggah sayin name mustve got madddddd niggah,1
messin broke niggahs gon broke niggah,1
niggahs actin like hoe sale,1
tall tree as female talkin bout catching feeling bitch need catch touchdown,1
come pussy fucking friend hostel iii really watching right,1
good jeter hero yankee sendoff via,2
cause aint rt aint eem watchin award yet hoe hatin kim k,1
damn whitey youll get kick newest form white privilege,0
eff let go cripple see wendy davis new attack ad video,2
every bitch got fat as rn,1
forget salute trash guy bad war cairo ii sympathize w pockistan gay hurting morale thanks king,2
scandal sex scene air abc right great pumpkin charlie brown making parent angry,2
view gon instagram picture title whilebrace yaself nigs,1
drowned ur pussy swam ur easily eloquent message sent xbox live,1
uturns yellow aceptar este luz rojo light taking long make bilingual,2
cont also provide colored sticker place nametags member indicate preferred pronoun,2
look oomf rt pretending bitch really work nah,1
via charlie angus sending made china canadian flag pin back conservative,2
bow yes bitchmaster bitch,1
backflip thissssssss rt nigga switch opinion like faggot,1
gigantic rt big faggot rt chubbs bout earl,1
nicolas cage unrolls dusty secret scroll say james madison whiny little bitch,1
search yellow page app nearest jack box,2
sings killed pussy died eye open,1
teacher call pussy senior skip day,1
bo rt bruh lol retired mw everything trash afterwards,2
bitch breathes could,1
chop rt bird call flap hand,2
go olive garden turn cracker go black friday shopping turn nigger,0
karate rt karrenchi still bird as bitch,1
live lol whats wrong bitch man,1
loud jamaican horn rt u still single rt yall find ugliest hoe attractive,1
make wise argument accelerated warholian notion celebrity era vine passing teen mock old wrinkled ball,1
pop pussy single,1
pregnant crazy bitch wu answer looking,1
put peoplebitch face,1
rub hand like bird man,2
scrolling fb hoe say need man cuddle cold bitch nobody wanna touch ratchet as,1
squak squak squak squak bird shut squak alex act defiance,2
wait fanduel hit jig,2
rt joe budden make people delete twitter account lmfao he pussy tho blocked,1
otakon badge im going lovingly refer cripple ribbon,1
gusta typing like retard make person look dumber pretending agree bazinga,0
animal cracker want animal cracker shaped like master chief troll gun shit thatd rule,1
gtrt ankle sock general faggot bro,0
rt many hoe really,1
help maybe gotta card sorry tranny died motel room wife know here applebees gift card,2
requires soundcloud link tumblr bitch might let play party,1
feel bad woman continually flock darkness thug talk big talk simple minded hoe,1
bitch catch feeling damn time,1
lol nah hoe dealt yall,1
nobody sell orange flavored colored bubblegum fuckin problem giant fuck im going pack,1
tweeting tabletballer bitch,1
aaaaaaaaand begin rt fucking nigger thats kentucky ever,0
im goin back school hoe class two,1
show obama called whitish yall motherfucker would cry racist like lil bitch blackish,1
amber rose rock bald head bald pussy motherfucker,1
youre white arent roll eye rt rip nigga trayvon worthless spear chucker,0
yes indeed camel ostrich zebra sept vccamelraces,2
love austin webber boon hcota,2
really talk like buck nigger,1
running around town delivering food people take trash perfect boyfriend,2
could play minute charlie brown wah wah wah adult sound effect instead,2
doesnt always feel like go season offensive concept inevitably trash get good,2
wow impeachment look using vocab workshop word guess half wrong dumb cunt,1
street bird homeless people twittering amsterdam via,2
hey race baiting fbi informant bitch wheres punk as speaking justice,1
try visiting night real spook,2
thank dawn see state bird grace avatar,2
klains real sole job dampen mushrooming bad pr political fallout heading nov election,2
could wearing trash bag shed still stylish coolest human know,2
al qaeda market share dropping faster viacom amp enron jihadi stock market,2
love obama unrequited however obama clearly putin bitch,1
putin pushing land china completely revamping armed force youre fucking retard stay country,1
baby momma bitch wife like pac u need thug ya life,1
good girl worth hoe,1
loyal girl gt oo hoe,1
day bitch,1
game k im finish new book john grisham cold hoe,1
thang know bitch come n go keep em bussiness,1
time lonely hoe watching scandal run,1
rt im crossed eyed im albino cant control,2
vader sith jedi duh vader also whiny bitch yoda motherfucking yoda micdrop,1
im drunk walk let drive got bitch night party dont start til drug arrive loaded,1
semievolved monkey desperately searching validation meaning life bbqd youd ok mango salsa,2
slapahoe,2
pretty close trash as nigga quote ill guess body count,1
rt rt average need scale ghetto u,2
day til christmas bitch,1
mile dead zone radius around phillygotta go ny dc rt tri state need better bitch,1
yea like money order bad asian bitch yea look like kemora,1
mil rt cause romo bitch as dez amp witten eating,1
w depot pussyfootin xxxmas hoe hoe hoe motherfucker santa claw coming town,1
oz arizona trash,2
like blocked bitch dont start blocking u ferguson,1
shy bitch homosexual,1
egg sunny side nicca,2
twitter ever get pussydick,1
year old pussy taste like hope,1
yr scrap might get life prison murderin norte nigga el pollo loco story rd,1
im killin hoe,1
world series rematch yankee brave,2
x yellow tower gilbert claes,2
st game fall finna kill hoe,1
wayhustle come get signed bitch self paid,1
iubb game im bloomington btown good ncaa basketball college indiana iu hoosier,2
adult human skull found trash,2
bad bitch glocks choppas,1
beer queer,0
faced bitch,1
hoe dyke,0
hoe everything,1
thangs bitch cant say im broke n ha period late,1
year starting street put fag funnyguy,1
knowing wtf bitch,1
senior chill fuck year senior basic as bitch,1
k tweet hoe id like thank supportive fan tweet come,1
bitch bitch hella chillin also thanks tolerating friend,1
talented driver rt really glad havent yellow havent yellow,2
rozayidgt mad cuz twan fuck bitch,1
flappy bird suck dick lick ball swag,1
pac real af temptation thats exactly nigga getting money bitch,1
finecheapwinecom used email address chat line bitch hittin,1
k coach retarded would put point guard tho,1
millionaire walked tripping bitch paid fight lmao,1
thing cant stand dealing bitch hit foot b stank as breath c skank as way,1
year today fucking retard fell love stupid wish coldhearted neverlovingsomeoneagain dontneedanyone,1
bitch fuck wid,1
min n pick trash meijernow u guy understand took shot trip,2
bitch hot done took flight,1
touchdown clock michigan hoe,1
dont like hoe,1
fat hoe ina caddilac u tell jus lost dey luxury car ride virginityhoes happy lmao,1
old hoe ponk dyke outchea girl talk,0
stack heel bitch foot car seat still smellin like key tell plug im lookin increase,1
moke,2
min bitch drop,1
know ya bitch,1
th rt beat pussy like snitched serve time state correctional facility year,1
th long bitch,1
bag chip rice krispies seed gummies pop tart cracker powerades water yuhhh im good lol,2
white men pick truck screaming nigger coach got nerve get mad missed free throw,0
still awake yay time chug coffee red bull foreseeable future hopefully pas behind wheel,2
so trash,2
whizzing cracker cat got amp playing hockey lol crazycats,2
ugly thot bitch shoe,1
so like come hang u u fugly oh side hoe left thnx,1
thharmony user followed unfollowed prude as hoe,1
hoe fat im big boned hehehehehe,1
bout match wit dis nicca donnydinero,1
pound never fails make cry im bitch relate,1
year later bitch still didnt learn lesson lol remember first major nude leak generation,1
need hurry chilly bitch,1
girl u went h look horrible dont wanna believe itim bout piss facebook hoe,1
mo let kill cracker kill baby new black panther hijack ferguson presser,0
specie bird reported chesterfield great backyard bird count many area,2
specie bird reported chesterfield great backyard bird count many area,2
percent yo bitch percent scrap,1
nigga goofy act like bitch,1
feature car yellow black feature car buck tag radiator support xx mile,2
got missed call yo bitch,1
truly talented people ive come across retarded professionally awful untalented people point polite,1
percent trash dump sea missing good thing,2
problem bitch aint,1
problem bitch aint one,1
point need discus delicious vegan brownie u st taste,2
well suck kobe he still filthy hate u want dont respect ur retarded,1
gt rt good pussy come price tag,1
bitch,1
tho bitch want included fuckin baldly bruh,1
chick gorgeous fine pussy stink,1
person significant hoe cheating,1
bitch use whipers,1
hick yes,2
thats happens getting pussy pussy twitter seems like clear cut choice hahahaha,1
charlie sheen could coach better crusty dusty yeah hired bryan price pitching coach,2
bet he starbucks queer,0
bitch gross fuck touchin saggy titty,1
could fuck bowl graham cracker cereal,1
bitch caught body week ago everybody catching bullet hole,1
hard qa time also pain mock unit test,2
bitch,1
nothing like waiting till last game season peddle shit website heeb,1
fugly loose hoe,1
blessjesus yesfeltand touched sol humanity stain impression leaf reflection,2
booksofgodwidom proverb also laugh calamity mock fear cometh,2
holyspirit god still share secret amos blessing jesus,2
jesus genesis ground lord god formed every beast field every bird sky initiating,2
bitch fucking told sit seat yo dumbass come saying sitting bitch votesos,1
fag,1
bitch bitch,1
fuc pussy nasty,1
maybe crow obama democrat mawbarmight well republican,2
amp foolish proud self roll eye pretend dont see mock laff arrogant attitude,2
whip mommy belt arrested black woman real nigger yet got wanted death,1
aint real nigger oh bad real nigga praise sonsof satan realnigger qualitaties im hating,1
wonder run nose first yo real nigger amp white devil massahs man pointing another convince u less,1
cry lost pussy emotional sissy get amp front hoe simple mind amp point brothas like,1
bitch need tan,1
old ratchet hoe bruh,1
pussy,1
yu ah hoe,1
wonder charlie brown would say day,2
good enough fag,0
little bitch as getting tased get home,1
haha still little bitch though,1
bc shes cunt hoe bag,1
look like plastic monkey doll,2
lmao excuse bitchi soundcloud,1
go cunt somewhere else,1
stfu hoe fucking answer smack shit outta faggot aunt,1
glad im still trying figure emoticon damn motorola give bitch finger,1
trash im kickin yo as,1
reminds oreo lmao,2
bitch far fuck u got el gran pollo way serf u well,1
iycmi cant get work done keep showin bitch,1
ima act like hit hoe pas like earlier,1
fag rhyme gag,1
fuck tonyyou greaseball piece shit,1
u said hoe,1
hoe,1
gone die aint playin dawg bitch gone ruthless,1
push wall slowly take panty write alphabet ur tongue tight pussy,1
time amend th amendment written protect newly freed ex slave lived purpose time end anchor baby loophole,2
laugh oreo lady gaga sunday day,2
yeah run squirrel coon,2
bitch hoe dont surprised,1
faggot,0
hey dont always go sometimes three crazy bitch one suave mfer trick going,1
watched llewyn davis doc warm fuzzies abound,2
laughing hoe,1
beautiful bride tell erica congrats remembers nig,1
lmao brutal nigs cant get job lol,1
sigh bitch im woman learn difference know im fat called scarf dumbass,1
dr phil im trouble figuring fat as want eat drink bitch,1
heard hillbilly grousings bug much worse kv since mic shut,2
cleaned entire fucking weight room looked like tornado went bitchcmon franklin,1
thats ghetto thats sweet movie quote try,2
little bitch proven wrong momsdemand gunsense,1
shut bitch,1
bruh im blanket like bitch right,1
youre ghetto tho live hood ghetto fact,2
bitch,1
man much damn giggling going offering tip shit lol think even heard bitch spit couple time,1
two trash as pass know damn well saw nd rd santos game,1
yeah cant lie tho spitting cop car right bitch as feel damn good,1
youre fucking pussy,1
crusty hoe,1
double game bitch,1
bitch tryna take money g,1
talking almost aint friend pussy,1
like gross yellow heat lamp,2
weve tried time go sits silence cry like bitch sweat,1
clam comedy writer untrue,2
really bro retard even missed point greeneggsampham mean dont knock til ya try,1
yeah tht bitch aint gay brah chill,1
may cried tad illmissu shiner,2
rt snapchat got hacked hoe explaining,1
ive seen number bitch say there thing loose pussy lol ok,1
ghetto name,2
nigglet,1
imma bitch know leave alone,1
dont hoe hoe snapchat,1
hell yeah got bokoo hoe fro,1
big congrats expect blogging rube chat day get sleep need,2
alqueda doesnt use cell phone internet wow teabaggers stupid,1
bitch wat,1
haha shit niggah wish,1
lol bitch riverside la ahah,1
nah thought u bitch lol didnt know peter girl one lmao,1
niggah lol beer went bar beer bar got pck way home lool,1
bitch u love,1
texting bitch,1
im hoe like every night tweeting bullshit,1
lol cause hoe love,1
yall niggaz aint never listen slow shit bitch,1
lmaoooo hell naw bro havent seen hoe,1
lol bout say shit income tax im tryna find bitch couple week,1
please stay safe guy love much hoe one day meet guy happy halloween,2
evil son bitch deserves everything thats coming,1
niiice nigga schinder pullin hoe,1
bad bitch wonder manner go,1
karma bitch,1
bitch stop fucking playin know wtf im talkin,1
niggah lying,1
seen pic nigs robbing store caption saidprotesting go fergerson lol dont like pig either wtf,1
live south lot pop life rhode island hardly nigger,0
basically like background music fag,0
hoe trash,1
trippin bitch,1
real rap fucked bitch lay day thats really disrespectful like bitch u couldnt feel throw coming,1
like hoe gettin dick day tonight gettin,1
stop mean bitch,1
main bitch,1
like dark light carmel white red tan yellow blue purple green doesnt matter color,2
remember keep skirt dark colored camouflage pan dimensional gore,2
hoe house tony spot mf,1
said got workout pussy,1
dont call buddy cambron retarded man smh thats rude,1
least agree whining like little bitch someone threw phone absolutely hilarious,1
haha say little bitch let someone take phone real man wouldnt let happen little bitch would,1
man pussy coward overpowered easily took clearly much less man,1
incessant whining like worthless little bitch funniest thing happened weekend man,1
yea always look niceall monkey faced woman see around santa monica look better natural beauty dontbedumb,1
bet good pussy,1
dont feel like reading right wanna give sexy coolie girl lyric via text message,2
wanna gimme baby look coolieit might could work lol,2
im trash,2
youre dismissed bitch mood fucktards morning blocked,1
cop bitch slapped wanna b st thug got tm got dead see dont slap cop r law,1
hate nigger,0
nigger disgust dealt year ago wouldnt problem,0
bitch would rather fuck poster damn thats cold,1
ali hoe,1
lol hoe number,1
right come wait another month naaaa could pimpin hoe lol,1
congrats amos,2
retarded,0
iheinz stfu think ugly hard look get fuck chat faggot block oct th,1
cant wait peds roid munching faggot,0
prego bitch,1
shut fuck hoe as bitch fuck squirtin as cunt hoe,1
smd bitch,1
homo as cracker,0
would got dat new monopoly wit da cardsill hold n see hoe let nigga swipe credit,1
thats nice color combo love blue yellow,2
cry baby bitch,1
distant chug end dried remain perfectly heavy guitar ever recorded,2
didnt call bitch saiddd bitch jeesh,1
spook shit,1
aint nobody offending u fuckin peckerwood despise good white ungrateful honkey,1
genius politically correct term would intellectually disabled highly offensive use word retarded,2
fight ur choice game faggot see happens,0
lmao side ho get real action anyways,1
principle ghetto elementary school doubt finger crossed,1
wrong nigger always causung mischief among ur people,0
lucky monkey,2
would faggot survive tj,1
totally correct anthony cant livin round dem colored folk day bringin da hood dem propery value,0
hey antony speaks colored good,2
enjoy itim happy youbut hate yankeesand yes sox choke,2
dont bitch power go like last time,1
pussy,1
bitch foh,1
youre going kill cracker amp baby new black panther credibilityshot fergusonriot justicemikebrown,0
well got see pompom pete,2
smdh another bitch,1
fuck u ugly as bitch,1
nah u fag,1
invited fag,1
class nig,1
guy supposed get as sucked queer,0
everybody mock obama he embarrassment usa,2
yeah bitch aint shit tho,1
bitch see bitch good luck,1
bitch joined fucking army u around bitch like fuck rob go fuckin army,1
lol na bitch like crazy good,1
bitch,1
cut bitch,1
wheres bitch wit sammich,1
bitch got flameeee,1
world see faggot jungle bunny fucking one got pregnant,1
note im dis bitch,1
bitch dont know wanna play basketball look sexy bro,1
bro know cant comment stupid shit like thatbitch instagram heart attack plate,1
welcome movement anyone get even minor publicity queer fed jew well according internet,0
bruh bruh bitch aint loyal,1
hoe,1
wtf dmd bitch,1
jeff luhnow blame astros blowing red sox yankee hc,2
nah im forreal yall pussy smell like dried crusty fish gut,1
nah bitch stank,1
ape fuck u broke as racist,0
fuck u bitch,1
rt hoe aint loyal,1
mutation genealogy convoluted basically zebra gene currieries slaughteredextinction,2
either way school trash,2
pussy as schedule,1
like talking faggot nicely way fag,0
answer snapchat faggot butthurt,0
go sleep faggot,1
one keeping faggot,1
wait see fucking cunt as mine,1
johnny football trash man trash lol,2
miss eating speak miss red bone cooking,2
bitch add,1
could died called mom bitch lmao,1
bruh go like bitch thoe lol final match,1
lmao omm see bitch tryna act like aint feel ahaha,1
lol match early ic champion bitch really would go ham,1
ppl pissed basically saying suffer tourching tht bitch,1
youre bitch though,1
come stop bitch cause im bout get,1
nigga pussy shit,1
cause youre sexy bitch,1
literally eat asshole living actually faggot seem little confused,0
bitch,1
bitch moan tear,1
ohgtgtgtgtgt thats bald bitchltltltltltltlt,1
u cant talk without talking ur cunt mama im thru talking,1
ur faggot teammate hit someone late like u say he yapping yelling u guy def room,0
man shut yo bord as want hoe cdfu stay fuckjng wid mann,1
he fucking trash,1
lmfaoooo thats fag shit man,1
dick pussy precious give ruined bullshit done,1
finger throbbing pussy slowly cum ur face,1
account incredibly retarded,1
time ranger scout head watch yankee prospect ranger,2
dyke,1
bishhhhhh waasup bitch,1
good dnt sucker sad mad bitch,1
followed vice lord dat rn listening nigga since magic almighty hoe,1
lt got hoe,1
thats meant toward dad gf shes bitch dude,1
quit bein little bitch b,1
hoe twerking heavy,1
two year old oreo,2
fuck school boring ghetto,1
put bitch shame,1
bitch,1
hoe b brossmh,1
im otp bitch hold,1
get nigguh street,1
grindin cuzz thats shit dont stop wats good witcha thou bitch mia,1
already know ima keep trillahappy bday lha bitch love yu nigga,1
right pussy,1
send damn beaner back belong n u aint,0
omfg elitist bitch one care think go fuck china anyway,1
biden winner last night yea right like charlie sheen really winner winning lol,2
glad brought kid home fucked face ucmj dont care taliban pussy really,1
l voted supported u u pulled rug u nation worse cuz circle trash,2
make weed legal pussy know smoke shit,1
wow white people cracker guess one u,1
moment silence bitch change name everyday,1
cracker jack shut fuck,0
gonna shut shit bitch u get yo punk as hoe as nigga,1
oh really thats word u wanna see bout dont wanna hear u gonna want see bitch,1
u lame bitch get fuck gay shit,1
wigga wigga wigga wigga wigga,1
dear daily mail misogynist pile twat,1
salon chuck full butthurt liberal retard,1
nigga said woke bed fulla bitch aint een fuckin idc shit bout x harder,1
grandpa better comeback he dead faggot go outside let go little as dick minute,1
whoever made twitter doesnt like lakers r making comeback accnt still continues trash talk em,2
dumb bitch stfu,1
im tokyo get higher jet killing dog as hoe send em vet produced,1
bitch gonna woman,1
one proud hillbilly,2
obamas bitch,1
nigger lol thts offensive lol xmas iite couple drink fine ninja xmas lol,1
dat cat gonna scratch dat colored boy gonna end da chow mein,2
ala proficient neither skill limited pointless stat memorization trash talk,2
nigga think mick foley,1
dont want one new bitch morphed super playa see world,1
boat hoe,1
well look like ill buying two big bitch box busch na,1
niggah follow back,1
lmfaoo yu stupid lha bitch knowing yr never hoeever,1
yall thou yalll fucking glad bag trash,1
tell boy hoe called,1
yall fucking trash boyy gladbagflow,1
bitch mom didnt call,1
lmfaooo oh well fuck bitch,1
shes another straightup conscienceless liar soulless criminal trash,2
youd like wouldnt fag,0
bitch bruhhh,1
look like fag time line boring zzzzzz,0
deserved victory elite awaits orange army sweet disgrace collegehoops ill back next time hoosier,2
bad he faggot,1
far asf nigguh,1
bruh wont happen cuz see big bitch strike,1
get volcano yet faggot,1
prolly got bomb pussy lol hope haha,1
bitch,1
happy birthday dirty little bird tear,2
gone eat bitch,1
bet would gone ape shit killed attacked muslim,1
holy fucking hell going epa overzealous cunt cant wait,1
like put looking race colored glass,2
send fucking muzzies home doj come get motherfucker,1
place pussy stache let pussy take ride,1
whats wrong white race fuckin coon slaying piece poop please die alone,0
aye da fawking ginzo fawking queen fawking nassau,1
copy tweet ginzo,2
let record song bitch right nowb,1
lol retarded,1
lmao bitch shut,1
whats bitch shout momz cali keep doin u loveit,1
one mary friend like bitch dont exist,1
bitch really love mosa though mosagang,1
dare one bag dat folk suckin come yo partayyyy da ofay wantin ride eldorato,2
dat mean get fuck hoe thinkin,1
yall crazy white bitch want lay wit bowf,1
sure think woman self hate therfore collectively woman bitch becomes campaign men follow,1
yes protest sexism go right home beg guy beat pussy im lost time,1
bro hoe live,1
nice avi lil nigger,1
well thats cracker jack secret service work jfk anyone,2
historical point cracker term irish settling wood midatlantic hardly offensive,2
youre killin man lt conservative racist like nbp hate honky,1
chill cuz youll regret bro hitting hoe rn quit,1
blah people determined think condescending bitch loss,1
ha bitch im pickin beach babe left n right west coast,1
bandana orian called trailer trash wearing lil country getup,2
lmfao go bed whitey,0
chicken fried steak boy mash potato gravy green bean corn ice cream brownie,2
rollin coal bitch ready blow ready set go,1
thanks hun haha,2
bitch got crew hype still got as beat tonight brought u,1
always eatin good wit niggah good lookin cd boy got heat bump banger,1
fosho niggah il real busy lately,1
yeah niggah played good lowkey wanted brazil win,1
ur tour come kick ya nig mia,1
jacob joshua pick similar love faggot ruslan well accountsgate,1
pas foster faggot,0
yeawhat maidana made greedy faggot loser atleast broner black,0
yeahbitch,1
seriously first conversation status fb messaged calling fag lololol,1
promised stand muzzies,2
fuck bitch,1
ur weird racist bitch,1
u eat inbred trailer trash,1
let hoe tell man,1
lesson dont pas like lil bitch,1
slap taco tht hoe face,1
never life coffee shop like starbucks hick though,2
lmao angela look like damn potato bitch keep talkin,1
pearl jam yellow ledbettergt,2
there reason yankee dont want anderson longer,2
ive shot go yellow smoke,2
awnser phone pussy,1
trash,2
thats ghetto super duper current generation best complement,2
pull panty ur teeth write alphabet w ur tongue throbbing pussy,1
trip acid bitch,1
yea u stupid faggot im leaving till like pm want ride,0
never followed ignorant monkey,0
lmaooo naw nigga imma stay right mention hoe,1
nigga didnt changeyall hoe tryna shoot know yall cant shoot,1
wake as hoe,1
fight shit say youre free lunch must game fucked cause youre colored like rest,1
thats shit gon death hoesion like,1
lmaooo rooster hot trash bro u know,1
get degree first bitch,1
ill say ya woman want couch plain sight outchea bitch simple,1
describing new pussy like baltimore love thing bitch,1
bitch mess bos fault,1
citizen said maria spic,0
know playing hoe start tho,1
nasty nigger whore,0
got hoe yet,1
least went wasnt bitch,1
realized one link awakening killed two bird one stone unless youre getting wind fish,2
wellhow yankee year run wtfiswrongwithnebraska,2
im mexican enough real beaner yet mexican americanized beaner,1
got hoe damn,1
hell perk hoe bullshit,1
ugh tebow youre officially fag followed,1
said bullshit damn nigger,0
wow comin back bitch nigga,0
beat bitch seriouslywhat bitch,1
damn bitch never answer anymore lmao jk ily anyway glad first show safe going next one,1
younow fucking bitch shit load hate first broadcast,1
id like rape bitch posted,0
trick wait bird get close pipe tap screen never hit head,2
ja moest van plisie niet meteen wild gaan denkenjuistjawillen wel meer mensen mij vertellen hoe k moet denken,2
fuck faggot,0
gotta see hoe person cause im sleeping hoe,1
da fuck hoe look sad,1
lol still lil bitch,1
new nigga hipster hypebeasts love faggot as bright color nike keep giving want smh,0
hoe woman like center attention,1
nigga like fuckin roach let one hot dam infested crazy bitch dig yo as,1
kid pussy got white trash kid amp thugnasty wanna,1
take queer as dubstep,1
pacer amp member loving hair dog came quadraphonic stereo could say bitchlol,1
lmao u aint savage hoe everybody,1
atl bvb sw ptv relapse symphony set farewell love mayday parade fob paramore etc,2
gunna laff chavarubio beaner supporter min,2
didnt spoil anything amp watched nigger nig nog,1
kike want charge dollaz complete version,2
sand nigger ran kidd,0
dont like sand nigger entertaining like knockdown,0
joe cortez ultimate faggot fight proved,0
remember fat bitch stealing kfc bucket amp hauling as,1
u beaner pissed like robert jew ref stopped,0
post bid tell nig use jab,1
true sand nigger amp bum brit claim he atg hall fame legend smh,0
waitwaitwait new one epson bitch lucky,1
ive decided bullsnation retarded love,1
huhlast gamestampa balt yank lost best pitcher please explain logic,2
sound like holding back infoyankee shill,2
hooker always complimentarywho want bitch,1
game winning hit thursday capped great career guy st ballot hof else,2
pussy,1
eating roasted potato smiling till cheek sore crow sfx cape crisis supergreat,2
tx trash know trouble w aca gop gov state like report lie anyway,2
tx trash show disgrace engaging w disrespecting president,2
racist tx trash enjoy high along gop win substitute racist loss,2
racist tx trash racist wld u intvw n ask racist question itwas disrespectful,0
isnt green one either there red yellow pic,2
jus wanna let know okc trash ibaka aint shit yall aint goin nowhere without harden,1
spur bitch thats team dont want problem,1
hey sir house nigger uncle tom arent grand ole mississippi rest case,0
need as whipped whip mr house nigger remember u always b nigger,1
bitch mind business,1
oh mean like started cunt jp something nothing,1
man look terrified picture beat treat like regular bitch,1
mfa dont wanna spend dime wit em prolly yelling money bitch,1
really miss know drink talk problem like basic bitch,1
waddup doe lil nicca,1
punk as bitch bullstalk,1
wanna white nigga chillin mini cooper throwin money bitch,1
press start bitch,1
fucking verse trip bitch stop assuming shit,1
ever said dumb mom cop amp ill track lil bitch kay bye,1
nigga eating hoe lol,1
da realest bitch amber,1
hoe as nigga,1
sockin bitch mouf,1
ghetto as pocahontas,1
bad bitch im logged everybody shit,1
wussup bitch,1
bitch im mad im finna throw bitch outside,1
bitch u,1
bitch u b fck yah,1
dam bitch,1
wussup bitch,1
da new bae bitch bad naw lmao,1
bitch aint shit,1
cant bitch,1
bitch know stfu,1
pop wop,2
pop wop drop tho,2
lay w bitch,1
umm bitch hello alive clearly dobt,1
bitch finna get crunk eyebrow double papp,2
dont know know name somebody colder monkey faced immigrant,1
fag hesgay,0
elissa fake cunt,1
thats saw leprechaun told burn thing,2
hoe singing,1
damn hoe came look many hoe said shit jamming shit,1
lmaooo wanted hoe suppose hold em,1
lmaooo nigga aint hoe think im winning,1
lmaoooo beiber get hoe wet big bro im tryna tell,1
either bitch like put beyonc nigga aint gone hesitate,1
whatever turn hoe zro aint gone get bitch wet,1
fuck takeoff nigga get bitch snap,1
lol hoe yr old,1
naw see hoe,1
wiz warrant like bitch,1
yea coming back big rod something hoe,1
nfn bitch much,1
im hollywood nig u brought twitter n bounced,1
